date,forecast_arima
2023-04-11,422.274304682693
2023-04-12,453.3817395362115
2023-04-13,379.36085875018955
2023-04-14,485.45606276991657
2023-04-15,470.09509912989176
2023-04-16,384.69077718662777
2023-04-17,483.1500605024721
2023-04-18,456.1210986684785
2023-04-19,449.23518014321087
2023-04-20,477.06954520738316
2023-04-21,460.35929347372837
2023-04-22,468.76088068697607
2023-04-23,486.7415987630797
2023-04-24,475.17087837309117
2023-04-25,485.4697372455214
2023-04-26,492.13795736700223
2023-04-27,491.12039074382085
2023-04-28,499.53177600684046
2023-04-29,502.9978943434945
2023-04-30,504.951477708064
2023-05-01,511.9694980146677
2023-05-02,515.0576530695702
2023-05-03,518.8542389697831
2023-05-04,524.1693700137171
2023-05-05,527.6105176412922
2023-05-06,532.0083841508042
2023-05-07,536.6644789564187
2023-05-08,540.417961397332
2023-05-09,544.890784832134
2023-05-10,549.2230312686918
