date,forecast_linear_regression
2023-04-11,535.3775757575758
2023-04-12,535.0779237923792
2023-04-13,534.7782718271827
2023-04-14,534.4786198619862
2023-04-15,534.1789678967897
2023-04-16,533.8793159315932
2023-04-17,533.5796639663967
2023-04-18,533.2800120012001
2023-04-19,532.9803600360036
2023-04-20,532.6807080708071
2023-04-21,532.3810561056106
2023-04-22,532.0814041404141
2023-04-23,531.7817521752175
2023-04-24,531.482100210021
2023-04-25,531.1824482448245
2023-04-26,530.8827962796279
2023-04-27,530.5831443144314
2023-04-28,530.2834923492348
2023-04-29,529.9838403840383
2023-04-30,529.6841884188418
2023-05-01,529.3845364536453
2023-05-02,529.0848844884488
2023-05-03,528.7852325232523
2023-05-04,528.4855805580557
2023-05-05,528.1859285928592
2023-05-06,527.8862766276627
2023-05-07,527.5866246624662
2023-05-08,527.2869726972697
2023-05-09,526.9873207320732
2023-05-10,526.6876687668766
